EngineSize,Cylinders,Horsepower,MPG_City,MPG_Highway,Weight,Wheelbase,Length,MSRP,High_MSRP
1.8,4.0,130,29,36,2679,102,171,16695.0,0
6.8,10.0,310,10,13,7190,137,227,41475.0,1
8.3,10.0,500,12,20,3410,99,176,81795.0,1
5.4,8.0,300,14,18,5464,133,218,33540.0,1
2.2,4.0,140,24,32,2946,107,187,18825.0,0
4.2,6.0,201,16,23,4340,121,202,33995.0,1
2.4,4.0,160,26,34,2994,105,188,19860.0,0
1.8,4.0,130,32,40,2524,102,178,15295.0,0
3.2,6.0,220,15,20,5086,112,187,35515.0,1
1.5,4.0,108,33,39,2085,93,163,11560.0,0
2.4,4.0,160,21,24,3468,101,167,18690.0,0
3.5,6.0,280,18,26,3416,112,182,29795.0,1
2.4,4.0,150,21,28,3182,108,191,18820.0,0
2.0,4.0,115,24,30,3082,99,161,23215.0,0
4.2,8.0,294,18,28,3803,119,200,59995.0,1
1.5,4.0,108,31,35,2425,98,155,14165.0,0
2.6,6.0,168,19,25,3470,107,179,33780.0,1
5.7,8.0,350,18,25,3248,105,180,51535.0,1
3.0,6.0,200,18,25,3812,112,188,28750.0,1
1.8,4.0,124,24,32,2697,101,178,14630.0,0
3.5,6.0,200,22,30,3297,106,188,20370.0,0
3.5,6.0,192,16,19,4112,107,180,19635.0,0
1.7,4.0,115,32,38,2432,103,175,13270.0,0
4.6,8.0,232,15,19,5000,119,206,34560.0,1
3.3,6.0,180,17,20,3760,104,178,20939.0,0
3.4,6.0,190,14,17,4435,128,218,25935.0,0
2.7,6.0,228,20,29,2811,95,170,43365.0,1
3.4,6.0,190,16,18,3925,128,218,16495.0,0
1.8,4.0,170,22,31,3241,106,185,23955.0,0
2.5,5.0,194,20,27,3691,110,190,37885.0,1
2.0,4.0,138,26,34,2698,103,178,15389.0,0
1.8,4.0,130,32,40,2524,102,178,15030.0,0
2.2,4.0,140,26,35,2692,103,185,15825.0,0
3.0,6.0,225,19,28,3616,107,177,44295.0,1
2.0,4.0,130,26,33,2702,103,178,17475.0,0
3.5,6.0,287,20,26,3428,104,169,34390.0,1
2.8,6.0,200,21,30,3179,99,172,23785.0,0
4.3,8.0,300,18,23,3840,103,178,63200.0,1
3.0,6.0,215,18,24,3410,105,177,32455.0,1
4.6,8.0,300,18,26,4044,115,207,50595.0,1
3.5,6.0,232,18,27,3487,113,204,24885.0,0
3.2,6.0,221,19,27,3635,112,190,48170.0,1
3.3,6.0,230,18,24,3935,107,185,27930.0,1
3.2,6.0,290,17,24,3153,100,174,89765.0,1
2.8,6.0,190,19,26,3721,106,185,33180.0,1
3.8,6.0,230,18,26,3649,108,191,25700.0,0
2.4,4.0,160,26,34,3047,105,188,22260.0,0
2.0,3.0,73,60,66,1850,95,155,19110.0,0
3.0,6.0,220,17,26,3583,104,179,33430.0,1
3.0,6.0,215,18,25,3255,105,177,31045.0,1
3.2,6.0,215,17,25,3060,95,160,34495.0,1
3.4,6.0,185,19,26,3699,112,187,27020.0,0
4.6,8.0,239,17,25,4474,124,221,50470.0,1
5.6,8.0,305,14,18,5287,140,224,26650.0,0
2.7,6.0,173,20,26,3549,103,177,21589.0,0
2.0,4.0,115,24,31,2897,99,165,18715.0,0
1.6,4.0,163,25,34,2678,97,144,19999.0,0
1.3,5.807511737089202,197,18,25,3053,106,174,25700.0,0
4.2,8.0,390,17,24,4046,115,192,63120.0,1
2.5,4.0,165,21,28,3395,104,184,25645.0,0
3.5,6.0,200,22,30,3458,112,188,22225.0,0
3.8,6.0,215,15,19,4718,110,190,33112.0,1
3.5,6.0,240,18,25,4310,118,201,24950.0,0
2.7,6.0,170,20,27,3279,106,186,18435.0,0
6.0,8.0,300,13,18,5440,133,222,29322.0,1
